date_elected,party,prev_held_office_democratic,prev_held_office_republican,previous_party_1,previous_party_2,previous_party_3,Winner,Loser,Winner's Party,Loser's Party
11/6/00,1,0,1,1,0,1,William McKinley,William Jennings Bryan,Republican,Democratic
11/8/04,1,0,1,1,1,0,Theodore Roosevelt,Alton B. Parker,Republican,Democratic
11/3/08,1,0,1,1,1,1,William Howard Taft,William Jennings Bryan,Republican,Democratic
11/5/12,0,0,1,1,1,1,Woodrow Wilson,Theodore Roosevelt,Democratic,Progressive
11/7/16,0,1,0,0,1,1,Woodrow Wilson,Charles Evans Hughes,Democratic,Republican
11/2/20,1,0,0,0,0,1,Warren G. Harding,James M. Cox,Republican,Democratic
11/4/24,1,0,1,1,0,0,Calvin Coolidge,John W. Davis,Republican,Democratic
11/6/28,1,0,0,1,1,0,Herbert Hoover,Al Smith,Republican,Democratic
11/8/32,0,0,0,1,1,1,Franklin D. Roosevelt,Herbert Hoover,Democratic,Republican
11/3/36,0,1,0,0,1,1,Franklin D. Roosevelt,Alf Landon,Democratic,Republican
11/5/40,0,1,0,0,0,1,Franklin D. Roosevelt,Wendell Willkie,Democratic,Republican
11/7/44,0,1,0,0,0,0,Franklin D. Roosevelt,Thomas E. Dewey,Democratic,Republican
11/2/48,0,1,0,0,0,0,Harry S. Truman,Thomas E. Dewey,Democratic,Republican
11/4/52,1,0,0,0,0,0,Dwight D. Eisenhower,Adlai Stevenson,Republican,Democratic
11/6/56,1,0,1,1,0,0,Dwight D. Eisenhower,Adlai Stevenson,Republican,Democratic
11/8/60,0,0,0,1,1,0,John F. Kennedy,Richard Nixon,Democratic,Republican
11/3/64,0,1,0,0,1,1,Lyndon B. Johnson,Barry Goldwater,Democratic,Republican
11/5/68,1,0,0,0,0,1,Richard Nixon,Hubert Humphrey,Republican,Democratic
11/7/72,1,1,0,1,0,0,Richard Nixon,George McGovern,Republican,Democratic
11/2/76,0,0,0,1,1,0,Jimmy Carter,Gerald Ford,Democratic,Republican
11/4/80,1,0,1,0,1,1,Ronald Reagan,Jimmy Carter,Republican,Democratic
11/6/84,1,1,0,1,0,1,Ronald Reagan,Walter Mondale,Republican,Democratic
11/8/88,1,0,1,1,1,0,George H. W. Bush,Michael Dukakis,Republican,Democratic
11/3/92,0,0,0,1,1,1,Bill Clinton,George H. W. Bush,Democratic,Republican
11/5/96,0,1,0,0,1,1,Bill Clinton,Bob Dole,Democratic,Republican
11/7/00,1,0,0,0,0,1,George W. Bush,Al Gore,Republican,Democratic
11/2/04,1,0,1,1,0,0,George W. Bush,John Kerry,Republican,Democratic
11/4/08,0,0,0,1,1,0,Barack Obama,John McCain,Democratic,Republican
11/6/12,0,1,0,0,1,1,Barack Obama,Mitt Romney,Democratic,Republican
11/8/16,1,0,0,0,0,1,Donald Trump,Hillary Clinton,Republican,Democratic
11/3/20,0,0,1,1,0,0,Joe Biden,Donald Trump,Democratic,Republican
11/5/24,,1,1,0,1,0,Joe Biden,Donald Trump,,
