Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2019-04-05,469.0,469.5,464.25,467.75,3.0,467.75,83156.0,205527.0
2019-04-04,471.0,477.5,468.0,470.75,0.25,470.75,67792.0,214025.0
2019-04-03,463.0,472.75,463.0,470.5,7.0,471.0,59353.0,217399.0
2019-04-02,463.5,465.75,456.0,464.0,1.25,464.0,45376.0,218925.0
2019-04-01,459.5,468.25,456.0,462.75,5.0,462.75,58685.0,220632.0
2019-03-29,463.75,464.75,452.5,459.25,6.75,457.75,69561.0,221638.0
2019-03-28,468.5,469.25,459.5,463.75,5.0,464.5,47846.0,224347.0
2019-03-27,470.0,471.75,466.5,469.5,0.25,469.5,58676.0,226226.0
2019-03-26,470.0,478.0,467.0,469.75,0.25,469.25,81580.0,226595.0
2019-03-25,466.5,471.75,463.0,468.75,3.5,469.5,56185.0,233058.0
2019-03-22,465.5,473.75,463.75,465.0,0.5,466.0,68775.0,237480.0
2019-03-21,464.5,467.5,458.0,466.25,1.75,466.5,56559.0,234042.0
2019-03-20,456.75,465.0,454.75,464.75,8.25,464.75,52588.0,237453.0
2019-03-19,458.5,462.5,453.75,456.5,0.25,456.5,51782.0,236844.0
2019-03-18,463.25,464.0,454.5,457.0,5.5,456.75,55358.0,234462.0
2019-03-15,452.5,463.0,448.5,460.25,9.5,462.25,65527.0,235487.0
2019-03-14,,447.75,,447.75,8.0,448.25,23.0,9.0
2019-03-13,439.75,441.5,438.5,441.5,6.0,440.25,10.0,23.0
2019-03-12,424.0,444.5,424.0,444.5,24.0,446.25,19.0,39.0
2019-03-11,430.25,430.25,425.25,425.25,10.5,422.25,32.0,65.0
2019-03-08,435.5,437.0,435.5,437.0,1.25,432.75,31.0,84.0
2019-03-07,435.25,437.25,435.25,435.25,9.0,431.5,69.0,182.0
2019-03-06,449.25,450.5,443.5,443.5,13.75,440.5,151.0,375.0
2019-03-05,446.0,454.25,445.75,453.75,7.5,454.25,324.0,622.0
2019-03-04,454.75,454.75,446.0,448.25,7.25,446.75,883.0,842.0
2019-03-01,452.5,457.75,440.5,454.0,1.5,454.0,1743.0,1516.0
2019-02-28,460.25,461.0,451.25,452.75,8.5,452.5,3977.0,3986.0
2019-02-27,460.25,467.75,458.25,459.5,0.75,461.0,14500.0,11353.0
2019-02-26,467.0,468.0,456.25,460.25,6.5,460.25,33016.0,24998.0
2019-02-25,489.75,490.0,466.25,466.25,20.0,466.75,42420.0,41519.0
2019-02-22,488.5,493.0,484.5,486.75,0.25,486.75,40251.0,71460.0
2019-02-21,480.5,491.5,480.25,487.0,5.75,486.5,45334.0,82025.0
2019-02-20,490.0,493.5,475.75,479.75,9.0,480.75,73487.0,89149.0
2019-02-19,502.5,505.25,488.5,490.25,14.5,489.75,71868.0,96146.0
2019-02-15,507.75,508.75,499.25,503.25,2.75,504.25,77011.0,102542.0
2019-02-14,521.5,522.5,506.0,507.25,15.25,507.0,94781.0,109819.0
2019-02-13,519.75,524.0,518.75,521.5,2.25,522.25,67078.0,126925.0
2019-02-12,518.5,520.75,514.5,520.0,1.75,520.0,77834.0,140753.0
2019-02-11,517.25,519.0,512.0,518.25,1.0,518.25,77753.0,153793.0
2019-02-08,514.75,522.25,513.5,518.0,4.0,517.25,103906.0,172918.0
2019-02-07,525.25,525.25,512.5,514.75,12.75,513.25,105092.0,185099.0
2019-02-06,527.0,531.25,524.25,526.0,1.25,526.0,68638.0,192641.0
2019-02-05,525.25,528.25,520.5,527.0,1.5,527.25,70137.0,199887.0
2019-02-04,524.75,529.0,521.25,525.25,1.5,525.75,70166.0,209028.0
2019-02-01,515.75,526.5,515.25,524.5,7.75,524.25,80178.0,212426.0
2019-01-31,517.75,520.0,513.5,516.5,0.25,516.5,53150.0,215360.0
2019-01-30,513.25,518.0,511.75,517.5,3.5,516.75,44727.0,216028.0
2019-01-29,517.75,522.0,510.75,514.75,5.5,513.25,72224.0,210317.0
2019-01-28,520.75,523.5,516.0,518.5,1.25,518.75,41835.0,212757.0
2019-01-25,520.5,523.0,516.75,521.0,1.5,520.0,48880.0,213611.0
2019-01-24,527.0,529.0,521.0,521.0,4.5,521.5,48426.0,215437.0
2019-01-23,522.5,527.0,521.75,526.5,4.75,526.0,42002.0,217246.0
2019-01-22,518.0,526.0,514.25,521.25,3.5,521.25,73695.0,219837.0
2019-01-18,519.75,522.75,515.25,517.5,,517.75,46812.0,222226.0
2019-01-17,511.5,522.5,509.0,517.75,5.25,517.75,63323.0,221137.0
2019-01-16,511.0,516.75,511.0,511.5,1.5,512.5,41124.0,221070.0
2019-01-15,514.75,518.25,508.0,511.5,3.25,511.0,54336.0,221141.0
2019-01-14,520.0,523.5,513.25,514.75,5.25,514.25,44072.0,219845.0
2019-01-11,513.75,523.75,512.75,519.75,5.75,519.5,66720.0,221745.0
2019-01-10,519.5,520.25,512.0,513.75,6.25,513.75,53147.0,221671.0
2019-01-09,519.75,523.75,518.25,519.5,2.25,520.0,50717.0,223409.0
2019-01-08,516.5,524.5,513.75,519.25,1.0,517.75,66424.0,230670.0
2019-01-07,518.0,518.5,513.5,516.5,0.25,516.75,38861.0,229028.0
