Date,"Closing Value"
1901-01-05,49.5800
1901-01-07,49.1700
1901-01-08,49.5600
1901-01-09,49.4700
1901-01-10,49.7300
1901-01-11,49.7000
1901-01-12,49.3500
1901-01-14,49.2700
1901-01-15,48.7200
1901-01-16,48.1400
1901-01-17,47.8400
1901-01-18,47.7700
1901-01-19,47.4500
1901-01-21,47.5600
1901-01-22,48.0000
1901-01-23,48.6200
1901-01-24,48.0900
1901-01-25,48.4700
1901-01-26,48.8500
1901-01-28,48.5600
1901-01-29,48.7600
1901-01-30,48.8800
1901-01-31,48.9400
1901-02-01,49.6000
1901-02-02,49.6000
1901-02-04,50.1500
1901-02-05,50.7400
1901-02-06,51.2000
1901-02-07,50.7900
1901-02-08,51.1300
1901-02-09,51.4000
1901-02-11,51.6300
1901-02-12,51.6300
1901-02-13,50.8800
1901-02-14,51.7300
1901-02-15,51.8500
1901-02-16,51.4100
1901-02-18,50.4900
1901-02-19,50.0900
1901-02-20,49.7900
1901-02-21,50.2200
1901-02-22,50.2200
1901-02-23,50.2200
1901-02-25,50.0100
1901-02-26,49.3500
1901-02-27,49.9000
1901-02-28,49.0800
1901-03-01,49.6400
1901-03-02,49.5700
1901-03-04,49.5100
1901-03-05,49.3400
1901-03-06,49.3700
1901-03-07,49.6100
1901-03-08,49.4800
1901-03-09,49.3000
1901-03-11,49.4300
1901-03-12,49.2900
1901-03-13,49.2100
1901-03-14,49.4800
1901-03-15,49.3200
1901-03-16,49.4300
1901-03-18,50.1200
1901-03-19,50.3500
1901-03-20,50.4200
1901-03-21,50.5000
1901-03-22,50.4900
1901-03-23,50.4200
1901-03-25,50.2500
1901-03-26,50.2000
1901-03-27,50.7400
1901-03-28,50.8300
1901-03-29,50.8600
1901-03-30,51.2200
1901-04-01,51.9500
1901-04-02,52.0300
1901-04-03,52.2700
1901-04-04,52.7500
1901-04-05,52.7500
1901-04-06,52.7500
1901-04-08,52.3600
1901-04-09,53.1200
1901-04-10,53.5600
1901-04-11,53.2000
1901-04-12,53.3900
1901-04-13,53.9500
1901-04-15,55.2000
1901-04-16,55.2500
1901-04-17,54.8500
1901-04-18,55.0200
1901-04-19,55.5900
1901-04-20,55.4300
1901-04-22,54.6200
1901-04-23,54.0600
1901-04-24,53.6300
1901-04-25,53.9400
1901-04-26,54.4700
1901-04-27,54.4700
1901-04-29,55.1100
1901-04-30,55.5300
1901-05-01,55.6200
1901-05-02,55.0800
1901-05-03,54.4800
1901-05-04,54.8700
1901-05-06,55.3500
1901-05-07,54.9600
1901-05-08,52.5400
1901-05-09,49.3600
1901-05-10,52.5000
1901-05-11,52.5000
1901-05-13,52.6900
1901-05-14,50.9800
1901-05-15,51.3200
1901-05-16,51.8900
1901-05-17,53.5400
1901-05-18,54.1100
1901-05-20,53.3000
1901-05-21,53.8000
1901-05-22,53.8500
1901-05-23,53.3500
1901-05-24,54.0100
1901-05-25,53.9300
1901-05-27,53.9700
1901-05-28,54.2200
1901-05-29,54.5800
1901-05-30,54.5800
1901-05-31,55.5100
1901-06-01,56.1100
1901-06-03,56.9400
1901-06-04,56.4600
1901-06-05,55.9500
1901-06-06,56.0000
1901-06-07,55.9000
1901-06-08,55.7300
1901-06-10,55.8700
1901-06-11,55.7600
1901-06-12,56.0800
1901-06-13,56.6300
1901-06-14,56.4600
1901-06-15,56.7200
1901-06-17,57.3300
1901-06-18,57.0100
1901-06-19,56.8200
1901-06-20,56.5700
1901-06-21,57.1000
1901-06-22,56.9300
1901-06-24,56.9300
1901-06-25,56.3600
1901-06-26,56.3100
1901-06-27,56.2800
1901-06-28,56.0200
1901-06-29,57.1000
1901-07-01,56.4700
1901-07-02,56.4600
1901-07-03,56.1100
1901-07-04,56.1100
1901-07-05,56.1100
1901-07-06,56.1100
1901-07-08,54.2400
1901-07-09,54.6900
1901-07-10,53.3200
